wavelength		 flux
1.212002420932409223e+03 2.956212567762753376e-14
1.212008882030836730e+03 2.966831366474743950e-14
1.212015342995210176e+03 2.977506589408186651e-14
1.212021803959583394e+03 2.988240618903116389e-14
1.212028264790302046e+03 2.999031318095225985e-14
1.212034725621020925e+03 3.009880050207845662e-14
1.212041186318484506e+03 3.020788026845266792e-14
1.212047647015948542e+03 3.031756003792862277e-14
1.212054107580557456e+03 3.042784393379231737e-14
1.212060568145166371e+03 3.053870275276242377e-14
1.212067028577319888e+03 3.065017089515743363e-14
1.212073489009473178e+03 3.076227124348050578e-14
1.212079949309570566e+03 3.087499268350424865e-14
1.212086409609667953e+03 3.098831524169176850e-14
1.212092869778108479e+03 3.110226076087464294e-14
1.212099329946548551e+03 3.121687176431246910e-14
1.212105789983730574e+03 3.133208613312861504e-14
1.212112250020912370e+03 3.144793845807790240e-14
1.212118709927234477e+03 3.156444198043938156e-14
1.212125169833556583e+03 3.168159976227027814e-14
1.212131629609416905e+03 3.179940521146125974e-14
1.212138089385277453e+03 3.191785675610892675e-14
1.212144549031074575e+03 3.203698412372943955e-14
1.212151008676871470e+03 3.215679486601831921e-14
1.212157468193002387e+03 3.227728055142748607e-14
1.212163927709133304e+03 3.239844889979790441e-14
1.212170387095995238e+03 3.252030668490206834e-14
1.212176846482857172e+03 3.264283053514366366e-14
1.212183305740847345e+03 3.276605031216567716e-14
1.212189764998836836e+03 3.288995035338679784e-14
1.212196224128350877e+03 3.301456451547264656e-14
1.212202683257865374e+03 3.313989600009350634e-14
1.212209142259299824e+03 3.326595084169886241e-14
1.212215601260734047e+03 3.339270307831014900e-14
1.212222060134484536e+03 3.352020120285922362e-14
1.212228519008234571e+03 3.364843895152696880e-14
1.212234977754696047e+03 3.377739018363083838e-14
1.212241436501157523e+03 3.390708438103777052e-14
1.212247895120724479e+03 3.403754061111086642e-14
1.212254353740291208e+03 3.416876535768772494e-14
1.212260812233357228e+03 3.430072365880670144e-14
1.212267270726423476e+03 3.443345249913296436e-14
1.212273729093383054e+03 3.456694934549130639e-14
1.212280187460342631e+03 3.470123717191362778e-14
1.212286645701587986e+03 3.483632016144422091e-14
1.212293103942833341e+03 3.497216398468291179e-14
1.212299562058757374e+03 3.510881520121766054e-14
1.212306020174680953e+03 3.524626139748418283e-14
1.212312478165675202e+03 3.538454362700479043e-14
1.212318936156669224e+03 3.552363950044838934e-14
1.212325394023124773e+03 3.566356149209086376e-14
1.212331851889580093e+03 3.580430436062395509e-14
1.212338309631887569e+03 3.594586981619618501e-14
1.212344767374195271e+03 3.608827831490045746e-14
1.212351224992744392e+03 3.623157449288333665e-14
1.212357682611293512e+03 3.637568847023679742e-14
1.212364140106473997e+03 3.652065312066010713e-14
1.212370597601654481e+03 3.666649663418841392e-14
1.212377054973854229e+03 3.681322266297129842e-14
1.212383512346053976e+03 3.696082162596804971e-14
1.212389969595661341e+03 3.710931406103136263e-14
1.212396426845268479e+03 3.725872520534213406e-14
1.212402883972669997e+03 3.740901114947432027e-14
1.212409341100071515e+03 3.756022030875992280e-14
1.212415798105653266e+03 3.771234067799657655e-14
1.212422255111235245e+03 3.786538396167468077e-14
1.212428711995383537e+03 3.801939059368793360e-14
1.212435168879531602e+03 3.817432025230635140e-14
1.212441625642630697e+03 3.833021690758269632e-14
1.212448082405729110e+03 3.848704728683729431e-14
1.212454539048162587e+03 3.864485355782040588e-14
1.212460995690596064e+03 3.880363634608219434e-14
1.212467452212747048e+03 3.896336691776688473e-14
1.212473908734897805e+03 3.912410147531723468e-14
1.212480365137148510e+03 3.928584688886185411e-14
1.212486821539398761e+03 3.944861200618968893e-14
1.212493277822130494e+03 3.961236522014364967e-14
1.212499734104861773e+03 3.977716440996327661e-14
1.212506190268454247e+03 3.994299073105023981e-14
1.212512646432046949e+03 4.010985398332416837e-14
1.212519102476880107e+03 4.027777072334873702e-14
1.212525558521712810e+03 4.044673859849297989e-14
1.212532014448164546e+03 4.061676114144881635e-14
1.212538470374616509e+03 4.078783458143120583e-14
1.212544926183064717e+03 4.096000288308481458e-14
1.212551381991513153e+03 4.113331090623356394e-14
1.212557837682333911e+03 4.130769235282235191e-14
1.212564293373155124e+03 4.148320204159336147e-14
