wavelength_AA,flux_density
1060.4605404269744,0.0
1060.4701833076815,0.0
1060.4798261883886,0.0
1060.489469069096,0.0
1060.4991119498031,0.0
1060.5087548305103,0.0
1060.5183977112174,0.0
1060.5280405919245,0.0
1060.5376834726317,0.0
1060.5473263533388,0.0
1060.556969234046,0.0
1060.566612114753,0.0
1060.5762549954604,0.0
1060.5858978761676,0.0
1060.5955407568747,0.0
1060.6051836375818,0.0
1060.614826518289,0.0
1060.624469398996,0.0
1060.6341122797032,0.0
1060.6437551604104,0.0
1060.6533980411177,0.0
1060.6630409218249,0.0
1060.672683802532,0.0
1060.6823266832391,0.0
1060.6919695639463,0.0
1060.7016124446534,0.0
1060.7112553253605,0.0
1060.7208982060677,0.0
1060.7305410867748,0.0
1060.7401839674822,0.0
1060.7498268481893,0.0
1060.7594697288964,0.0
1060.7691126096036,0.0
1060.7787554903107,0.0
1060.7883983710178,0.0
1060.798041251725,0.0
1060.807684132432,0.0
1060.8173270131394,0.0
1060.8269698938466,0.0
1060.8366127745537,0.0
1060.8462556552608,0.0
1060.855898535968,0.0
1060.8655414166751,0.0
1060.8751842973822,0.0
1060.8848271780894,0.0
1060.8944700587965,0.0
1060.9041129395039,0.0
1060.913755820211,0.0
1060.9233987009181,0.0
1060.9330415816253,0.0
1060.9426844623324,0.0
1060.9523273430395,0.0
1060.9619702237467,0.0
1060.9716131044538,0.0
1060.9812559851612,0.0
1060.9908988658683,0.0
1061.0005417465754,0.0
1061.0101846272826,0.0
1061.0198275079897,0.0
1061.0294703886968,0.0
1061.039113269404,0.0
1061.048756150111,0.0
1061.0583990308182,0.0
1061.0680419115256,0.0
1061.0776847922327,0.0
1061.0873276729399,0.0
1061.096970553647,0.0
1061.1066134343541,0.0
1061.1162563150613,0.0
1061.1258991957684,0.0
1061.1355420764755,0.0
1061.145184957183,0.0
1061.15482783789,0.0
1061.1644707185972,0.0
1061.1741135993043,0.0
1061.1837564800114,0.0
1061.1933993607186,0.0
1061.2030422414257,0.0
1061.2126851221328,0.0
1061.22232800284,0.0
1061.2319708835473,0.0
1061.2416137642545,0.0
1061.2512566449616,0.0
1061.2608995256687,0.0
1061.2705424063759,0.0
1061.280185287083,0.0
1061.2898281677901,0.0
1061.2994710484973,0.0
1061.3091139292046,0.0
1061.3187568099117,0.0
1061.3283996906189,0.0
1061.338042571326,0.0
1061.3476854520331,0.0
1061.3573283327403,0.0
1061.3669712134474,0.0
1061.3766140941545,0.0
1061.386256974862,0.0
1061.395899855569,0.0
1061.4055427362762,0.0
1061.4151856169833,0.0
1061.4248284976904,0.0
1061.4344713783976,0.0
1061.4441142591047,0.0
1061.4537571398118,0.0
1061.463400020519,0.0
1061.4730429012263,0.0
1061.4826857819335,0.0
1061.4923286626406,0.0
1061.5019715433477,0.0
1061.5116144240549,0.0
1061.521257304762,0.0
1061.5309001854691,0.0
1061.5405430661763,0.0
1061.5501859468836,0.0
1061.5598288275908,0.0
1061.569471708298,0.0
1061.579114589005,0.0
1061.5887574697122,0.0
1061.5984003504193,0.0
1061.6080432311264,0.0
1061.6176861118336,0.0
1061.6273289925407,0.0
1061.636971873248,0.0
1061.6466147539552,0.0
1061.6562576346623,0.0
1061.6659005153695,0.0
1061.6755433960766,0.0
1061.6851862767837,0.0
1061.6948291574909,0.0
1061.704472038198,0.0
1061.7141149189054,0.0
1061.7237577996125,0.0
1061.7334006803196,0.0
1061.7430435610268,0.0
1061.7526864417339,0.0
1061.762329322441,0.0
1061.7719722031482,0.0
1061.7816150838553,0.0
1061.7912579645624,0.0
1061.8009008452698,0.0
1061.810543725977,0.0
1061.820186606684,0.0
1061.8298294873912,0.0
1061.8394723680983,0.0
1061.8491152488054,0.0
1061.8587581295126,0.0
1061.8684010102197,0.0
1061.878043890927,0.0
1061.8876867716342,0.0
1061.8973296523413,0.0
1061.9069725330485,0.0
1061.9166154137556,0.0
1061.9262582944627,0.0
1061.9359011751699,0.0
1061.945544055877,0.0
1061.9551869365841,0.0
1061.9648298172915,0.0
1061.9744726979986,0.0
1061.9841155787058,0.0
1061.993758459413,0.0
1062.00340134012,0.0
1062.0130442208272,0.0
1062.0226871015343,0.0
1062.0323299822414,0.0
1062.0419728629488,0.0
1062.051615743656,0.0
1062.061258624363,0.0
1062.0709015050702,0.0
1062.0805443857773,0.0
1062.0901872664845,0.0
1062.0998301471916,0.0
1062.1094730278987,0.0
1062.1191159086059,0.0
1062.1287587893132,0.0
1062.1384016700204,0.0
1062.1480445507275,0.0
1062.1576874314346,0.0
1062.1673303121418,0.0
1062.176973192849,0.0
1062.186616073556,0.0
1062.1962589542632,0.0
1062.2059018349705,0.0
1062.2155447156777,0.0
1062.2251875963848,0.0
1062.234830477092,0.0
1062.244473357799,0.0
1062.2541162385062,0.0
1062.2637591192133,0.0
1062.2734019999205,0.0
1062.2830448806276,0.0
